Geographic Level,Week_ending,Health Insurance Among 18-64 YO,No Vaccination,Yes Vaccination
National,01/06/2024 12:00:00 AM,Insured,188957.032,128084.968
National,01/06/2024 12:00:00 AM,Uninsured,31607.244,6565.755999999999
National,01/13/2024 12:00:00 AM,Insured,187688.864,129353.136
National,01/13/2024 12:00:00 AM,Uninsured,31530.898,6642.102
National,01/20/2024 12:00:00 AM,Insured,186103.654,130938.34599999999
National,01/20/2024 12:00:00 AM,Uninsured,31530.898,6642.102
National,01/27/2024 12:00:00 AM,Insured,184835.48599999998,132206.51400000002
National,01/27/2024 12:00:00 AM,Uninsured,31530.898,6642.102
National,02/03/2024 12:00:00 AM,Insured,182933.234,134108.766
National,02/03/2024 12:00:00 AM,Uninsured,31149.167999999998,7023.832
National,02/10/2024 12:00:00 AM,Insured,182299.15,134742.85
National,02/10/2024 12:00:00 AM,Uninsured,31149.167999999998,7023.832
National,02/17/2024 12:00:00 AM,Insured,181982.108,135059.892
National,02/17/2024 12:00:00 AM,Uninsured,31149.167999999998,7023.832
National,02/24/2024 12:00:00 AM,Insured,181665.066,135376.934
National,02/24/2024 12:00:00 AM,Uninsured,31149.167999999998,7023.832
National,03/02/2024 12:00:00 AM,Insured,179128.73,137913.27
National,03/02/2024 12:00:00 AM,Uninsured,30843.784,7329.216
National,03/09/2024 12:00:00 AM,Insured,178811.688,138230.312
National,03/09/2024 12:00:00 AM,Uninsured,30843.784,7329.216
National,03/16/2024 12:00:00 AM,Insured,178811.688,138230.312
National,03/16/2024 12:00:00 AM,Uninsured,30805.611,7367.389
National,03/23/2024 12:00:00 AM,Insured,178494.64599999998,138547.35400000002
National,03/23/2024 12:00:00 AM,Uninsured,30576.573,7596.427
National,03/31/2024 12:00:00 AM,Insured,178494.64599999998,138547.35400000002
National,03/31/2024 12:00:00 AM,Uninsured,30500.227,7672.773
National,08/24/2024 12:00:00 AM,Insured,62284.95,1597.0500000000002
National,08/24/2024 12:00:00 AM,Uninsured,7842.648,209.35200000000003
National,08/31/2024 12:00:00 AM,Insured,62157.186,1724.8140000000003
National,08/31/2024 12:00:00 AM,Uninsured,7842.648,209.35200000000003
National,09/07/2024 12:00:00 AM,Insured,60943.428,2938.572
National,09/07/2024 12:00:00 AM,Uninsured,7842.648,209.35200000000003
National,09/14/2024 12:00:00 AM,Insured,59857.434,4024.566
National,09/14/2024 12:00:00 AM,Uninsured,7834.596,217.40400000000002
National,09/21/2024 12:00:00 AM,Insured,58260.384,5621.616000000001
National,09/21/2024 12:00:00 AM,Uninsured,7778.232,273.76800000000003
National,09/28/2024 12:00:00 AM,Insured,57110.508,6771.492
National,09/28/2024 12:00:00 AM,Uninsured,7737.972,314.028
National,09/30/2023 12:00:00 AM,Insured,278045.834,38996.166000000005
National,09/30/2023 12:00:00 AM,Uninsured,35882.62,2290.38
National,10/05/2024 12:00:00 AM,Insured,53149.824,10732.176000000001
National,10/05/2024 12:00:00 AM,Uninsured,7536.6720000000005,515.328
National,10/07/2023 12:00:00 AM,Insured,269802.742,47239.257999999994
National,10/07/2023 12:00:00 AM,Uninsured,35882.62,2290.38
National,10/12/2024 12:00:00 AM,Insured,51425.01,12456.99
National,10/12/2024 12:00:00 AM,Uninsured,7496.412,555.5880000000001
National,10/14/2023 12:00:00 AM,Insured,256804.02,60237.98
National,10/14/2023 12:00:00 AM,Uninsured,35500.89,2672.11
National,10/19/2024 12:00:00 AM,Insured,49891.842000000004,13990.157999999998
National,10/19/2024 12:00:00 AM,Uninsured,7423.9439999999995,628.056
National,10/21/2023 12:00:00 AM,Insured,245707.55,71334.45
National,10/21/2023 12:00:00 AM,Uninsured,35348.198,2824.8020000000006
National,10/28/2023 12:00:00 AM,Insured,238415.584,78626.416
National,10/28/2023 12:00:00 AM,Uninsured,34966.468,3206.532
National,11/04/2023 12:00:00 AM,Insured,225733.90399999998,91308.096
National,11/04/2023 12:00:00 AM,Uninsured,33554.067,4618.933
National,11/11/2023 12:00:00 AM,Insured,220344.19,96697.81
National,11/11/2023 12:00:00 AM,Uninsured,33286.856,4886.144
National,11/18/2023 12:00:00 AM,Insured,214954.476,102087.524
National,11/18/2023 12:00:00 AM,Uninsured,32828.78,5344.22
National,11/25/2023 12:00:00 AM,Insured,212735.18200000003,104306.81799999998
National,11/25/2023 12:00:00 AM,Uninsured,32370.703999999998,5802.296
National,12/02/2023 12:00:00 AM,Insured,201004.628,116037.372
National,12/02/2023 12:00:00 AM,Uninsured,32370.703999999998,5802.296
National,12/09/2023 12:00:00 AM,Insured,197834.20799999998,119207.792
National,12/09/2023 12:00:00 AM,Uninsured,32332.531,5840.469
National,12/16/2023 12:00:00 AM,Insured,194029.70400000003,123012.29599999999
National,12/16/2023 12:00:00 AM,Uninsured,32294.358,5878.642
National,12/23/2023 12:00:00 AM,Insured,191493.368,125548.63200000001
National,12/23/2023 12:00:00 AM,Uninsured,32294.358,5878.642
National,12/30/2023 12:00:00 AM,Insured,189591.11599999998,127450.884
National,12/30/2023 12:00:00 AM,Uninsured,31988.974000000002,6184.026
