Geographic Level,Week_ending,Gender Identity,No Vaccination,Yes Vaccination
National,01/06/2024 12:00:00 AM,Cisgender,285388.28,219723.72
National,01/06/2024 12:00:00 AM,Don't Know/Refused,2983.516,1782.484
National,01/06/2024 12:00:00 AM,Transgender/Nonbinary,3469.6400000000003,1994.36
National,01/13/2024 12:00:00 AM,Cisgender,283872.944,221239.05599999998
National,01/13/2024 12:00:00 AM,Don't Know/Refused,2973.984,1792.016
National,01/13/2024 12:00:00 AM,Transgender/Nonbinary,3469.6400000000003,1994.36
National,01/20/2024 12:00:00 AM,Cisgender,281347.384,223764.61599999998
National,01/20/2024 12:00:00 AM,Don't Know/Refused,2973.984,1792.016
National,01/20/2024 12:00:00 AM,Transgender/Nonbinary,3469.6400000000003,1994.36
National,01/27/2024 12:00:00 AM,Cisgender,279326.936,225785.064
National,01/27/2024 12:00:00 AM,Don't Know/Refused,2973.984,1792.016
National,01/27/2024 12:00:00 AM,Transgender/Nonbinary,3458.7119999999995,2005.2880000000002
National,02/03/2024 12:00:00 AM,Cisgender,276801.376,228310.624
National,02/03/2024 12:00:00 AM,Don't Know/Refused,2888.196,1877.8039999999999
National,02/03/2024 12:00:00 AM,Transgender/Nonbinary,3311.184,2152.816
National,02/10/2024 12:00:00 AM,Cisgender,275791.152,229320.84799999997
National,02/10/2024 12:00:00 AM,Don't Know/Refused,2888.196,1877.8039999999999
National,02/10/2024 12:00:00 AM,Transgender/Nonbinary,3305.72,2158.28
National,02/17/2024 12:00:00 AM,Cisgender,275286.04,229825.96000000002
National,02/17/2024 12:00:00 AM,Don't Know/Refused,2883.43,1882.5700000000002
National,02/17/2024 12:00:00 AM,Transgender/Nonbinary,3305.72,2158.28
National,02/24/2024 12:00:00 AM,Cisgender,273770.704,231341.29599999997
National,02/24/2024 12:00:00 AM,Don't Know/Refused,2883.43,1882.5700000000002
National,02/24/2024 12:00:00 AM,Transgender/Nonbinary,3305.72,2158.28
National,03/02/2024 12:00:00 AM,Cisgender,270234.92,234877.08000000002
National,03/02/2024 12:00:00 AM,Don't Know/Refused,2802.408,1963.592
National,03/02/2024 12:00:00 AM,Transgender/Nonbinary,3147.264,2316.736
National,03/09/2024 12:00:00 AM,Cisgender,269729.80799999996,235382.192
National,03/09/2024 12:00:00 AM,Don't Know/Refused,2802.408,1963.592
National,03/09/2024 12:00:00 AM,Transgender/Nonbinary,3147.264,2316.736
National,03/16/2024 12:00:00 AM,Cisgender,269729.80799999996,235382.192
National,03/16/2024 12:00:00 AM,Don't Know/Refused,2797.642,1968.358
National,03/16/2024 12:00:00 AM,Transgender/Nonbinary,3147.264,2316.736
National,03/23/2024 12:00:00 AM,Cisgender,269224.696,235887.304
National,03/23/2024 12:00:00 AM,Don't Know/Refused,2797.642,1968.358
National,03/23/2024 12:00:00 AM,Transgender/Nonbinary,3147.264,2316.736
National,03/31/2024 12:00:00 AM,Cisgender,268719.58400000003,236392.416
National,03/31/2024 12:00:00 AM,Don't Know/Refused,2797.642,1968.358
