Geographic Level,Week_ending,Health Insurance,No Vaccination,Yes Vaccination
National,01/06/2024 12:00:00 AM,Insured,246915.44799999997,216340.55200000003
National,01/06/2024 12:00:00 AM,Uninsured,33226.884,7195.116000000001
National,01/13/2024 12:00:00 AM,Insured,245525.68000000002,217730.31999999998
National,01/13/2024 12:00:00 AM,Uninsured,33105.618,7316.3820000000005
National,01/20/2024 12:00:00 AM,Insured,242746.14399999997,220509.85600000003
National,01/20/2024 12:00:00 AM,Uninsured,33105.618,7316.3820000000005
National,01/27/2024 12:00:00 AM,Insured,240893.12,222362.88
National,01/27/2024 12:00:00 AM,Uninsured,33105.618,7316.3820000000005
National,02/03/2024 12:00:00 AM,Insured,238576.84,224679.16
National,02/03/2024 12:00:00 AM,Uninsured,32701.398,7720.602
National,02/10/2024 12:00:00 AM,Insured,237650.32799999998,225605.67200000002
National,02/10/2024 12:00:00 AM,Uninsured,32701.398,7720.602
National,02/17/2024 12:00:00 AM,Insured,236723.816,226532.184
National,02/17/2024 12:00:00 AM,Uninsured,32701.398,7720.602
National,02/24/2024 12:00:00 AM,Insured,235797.304,227458.696
National,02/24/2024 12:00:00 AM,Uninsured,32701.398,7720.602
National,03/02/2024 12:00:00 AM,Insured,232091.256,231164.744
National,03/02/2024 12:00:00 AM,Uninsured,32337.6,8084.400000000001
National,03/09/2024 12:00:00 AM,Insured,231628.0,231628.0
National,03/09/2024 12:00:00 AM,Uninsured,32337.6,8084.400000000001
National,03/16/2024 12:00:00 AM,Insured,231628.0,231628.0
National,03/16/2024 12:00:00 AM,Uninsured,32337.6,8084.400000000001
National,03/23/2024 12:00:00 AM,Insured,231164.744,232091.256
National,03/23/2024 12:00:00 AM,Uninsured,32054.646,8367.354
National,03/31/2024 12:00:00 AM,Insured,231164.744,232091.256
National,03/31/2024 12:00:00 AM,Uninsured,31973.802,8448.198
National,08/24/2024 12:00:00 AM,Insured,91215.846,2918.154
National,08/24/2024 12:00:00 AM,Uninsured,8137.33,251.67
National,08/31/2024 12:00:00 AM,Insured,90839.31,3294.6900000000005
National,08/31/2024 12:00:00 AM,Uninsured,8137.33,251.67
National,09/07/2024 12:00:00 AM,Insured,89050.764,5083.236000000001
National,09/07/2024 12:00:00 AM,Uninsured,8137.33,251.67
National,09/14/2024 12:00:00 AM,Insured,86791.548,7342.452
National,09/14/2024 12:00:00 AM,Uninsured,8103.774,285.226
National,09/21/2024 12:00:00 AM,Insured,83779.26,10354.74
National,09/21/2024 12:00:00 AM,Uninsured,8045.051,343.94899999999996
National,09/28/2024 12:00:00 AM,Insured,81614.178,12519.822
National,09/28/2024 12:00:00 AM,Uninsured,8003.106,385.894
National,09/30/2023 12:00:00 AM,Insured,394230.856,69025.144
National,09/30/2023 12:00:00 AM,Uninsured,37956.258,2465.7419999999997
National,10/05/2024 12:00:00 AM,Insured,74648.262,19485.737999999998
National,10/05/2024 12:00:00 AM,Uninsured,7843.715,545.285
National,10/07/2023 12:00:00 AM,Insured,380333.176,82922.824
National,10/07/2023 12:00:00 AM,Uninsured,37875.414,2546.5860000000002
National,10/12/2024 12:00:00 AM,Insured,71541.84,22592.16
National,10/12/2024 12:00:00 AM,Uninsured,7784.992,604.008
National,10/14/2023 12:00:00 AM,Insured,357633.632,105622.368
National,10/14/2023 12:00:00 AM,Uninsured,37471.194,2950.806
National,10/19/2024 12:00:00 AM,Insured,68717.82,25416.18
National,10/19/2024 12:00:00 AM,Uninsured,7701.102,687.8979999999999
National,10/21/2023 12:00:00 AM,Insured,339103.392,124152.60800000001
National,10/21/2023 12:00:00 AM,Uninsured,37188.24,3233.76
National,10/28/2023 12:00:00 AM,Insured,326595.48,136660.52
National,10/28/2023 12:00:00 AM,Uninsured,36824.442,3597.5580000000004
National,11/04/2023 12:00:00 AM,Insured,304359.19200000004,158896.808
National,11/04/2023 12:00:00 AM,Uninsured,35288.406,5133.594
National,11/11/2023 12:00:00 AM,Insured,295094.07200000004,168161.92799999999
National,11/11/2023 12:00:00 AM,Uninsured,35005.452,5416.548000000001
National,11/18/2023 12:00:00 AM,Insured,286292.208,176963.79200000002
National,11/18/2023 12:00:00 AM,Uninsured,34520.388,5901.612
National,11/25/2023 12:00:00 AM,Insured,283049.41599999997,180206.584
National,11/25/2023 12:00:00 AM,Uninsured,33994.902,6427.098
National,12/02/2023 12:00:00 AM,Insured,265445.68799999997,197810.31200000003
National,12/02/2023 12:00:00 AM,Uninsured,33994.902,6427.098
National,12/09/2023 12:00:00 AM,Insured,259423.36,203832.64
National,12/09/2023 12:00:00 AM,Uninsured,33954.479999999996,6467.52
National,12/16/2023 12:00:00 AM,Insured,254790.8,208465.2
National,12/16/2023 12:00:00 AM,Uninsured,33954.479999999996,6467.52
National,12/23/2023 12:00:00 AM,Insured,250621.496,212634.504
National,12/23/2023 12:00:00 AM,Uninsured,33914.058,6507.942
National,12/30/2023 12:00:00 AM,Insured,247841.96,215414.04
National,12/30/2023 12:00:00 AM,Uninsured,33590.682,6831.317999999999
