Geographic Level,Week_ending,Race/Ethnicity,No Vaccination,Yes Vaccination
National,01/06/2024 12:00:00 AM,"American Indian/Alaska Native, Non-Hispanic",3998.54,1916.46
National,01/06/2024 12:00:00 AM,"Asian, Non-Hispanic",11970.805,10744.195
National,01/06/2024 12:00:00 AM,"Black, Non-Hispanic",29284.271,18024.729
National,01/06/2024 12:00:00 AM,Hispanic,49699.868,24701.132
National,01/06/2024 12:00:00 AM,"Multiple Race/Other (Excludes Asian, AIAN, PI/NH), Non-Hispanic",11788.919999999998,6073.080000000001
National,01/06/2024 12:00:00 AM,"Other, Non-Hispanic",29410.127999999997,20101.872000000003
National,01/06/2024 12:00:00 AM,"Pacific Islander/Native Hawaiian, Non-Hispanic",1987.1599999999999,1032.8400000000001
National,01/06/2024 12:00:00 AM,"White, Non-Hispanic",174901.814,156980.186
National,01/13/2024 12:00:00 AM,"American Indian/Alaska Native, Non-Hispanic",3992.625,1922.375
National,01/13/2024 12:00:00 AM,"Asian, Non-Hispanic",11970.805,10744.195
National,01/13/2024 12:00:00 AM,"Black, Non-Hispanic",29142.344,18166.656
National,01/13/2024 12:00:00 AM,Hispanic,49625.467000000004,24775.532999999996
National,01/13/2024 12:00:00 AM,"Multiple Race/Other (Excludes Asian, AIAN, PI/NH), Non-Hispanic",11753.196,6108.804
National,01/13/2024 12:00:00 AM,"Other, Non-Hispanic",29261.592,20250.408
National,01/13/2024 12:00:00 AM,"Pacific Islander/Native Hawaiian, Non-Hispanic",1972.06,1047.94
National,01/13/2024 12:00:00 AM,"White, Non-Hispanic",173574.286,158307.714
National,01/20/2024 12:00:00 AM,"American Indian/Alaska Native, Non-Hispanic",3992.625,1922.375
National,01/20/2024 12:00:00 AM,"Asian, Non-Hispanic",11970.805,10744.195
National,01/20/2024 12:00:00 AM,"Black, Non-Hispanic",28574.636,18734.364
National,01/20/2024 12:00:00 AM,Hispanic,49253.462,25147.537999999997
National,01/20/2024 12:00:00 AM,"Multiple Race/Other (Excludes Asian, AIAN, PI/NH), Non-Hispanic",11699.61,6162.389999999999
National,01/20/2024 12:00:00 AM,"Other, Non-Hispanic",29261.592,20250.408
National,01/20/2024 12:00:00 AM,"Pacific Islander/Native Hawaiian, Non-Hispanic",1972.06,1047.94
National,01/20/2024 12:00:00 AM,"White, Non-Hispanic",171582.994,160299.006
National,01/27/2024 12:00:00 AM,"American Indian/Alaska Native, Non-Hispanic",3992.625,1922.375
National,01/27/2024 12:00:00 AM,"Asian, Non-Hispanic",11879.945,10835.055
National,01/27/2024 12:00:00 AM,"Black, Non-Hispanic",28148.855,19160.145
National,01/27/2024 12:00:00 AM,Hispanic,49030.259,25370.741
National,01/27/2024 12:00:00 AM,"Multiple Race/Other (Excludes Asian, AIAN, PI/NH), Non-Hispanic",11503.128,6358.872
National,01/27/2024 12:00:00 AM,"Other, Non-Hispanic",28964.52,20547.48
National,01/27/2024 12:00:00 AM,"Pacific Islander/Native Hawaiian, Non-Hispanic",1972.06,1047.94
National,01/27/2024 12:00:00 AM,"White, Non-Hispanic",170919.23,160962.77
National,02/03/2024 12:00:00 AM,"American Indian/Alaska Native, Non-Hispanic",3838.8349999999996,2076.1650000000004
National,02/03/2024 12:00:00 AM,"Asian, Non-Hispanic",11402.93,11312.07
National,02/03/2024 12:00:00 AM,"Black, Non-Hispanic",28054.236999999997,19254.763000000003
National,02/03/2024 12:00:00 AM,Hispanic,47765.442,26635.557999999997
National,02/03/2024 12:00:00 AM,"Multiple Race/Other (Excludes Asian, AIAN, PI/NH), Non-Hispanic",11503.128,6358.872
National,02/03/2024 12:00:00 AM,"Other, Non-Hispanic",28271.352,21240.648
National,02/03/2024 12:00:00 AM,"Pacific Islander/Native Hawaiian, Non-Hispanic",1902.6,1117.4
National,02/03/2024 12:00:00 AM,"White, Non-Hispanic",169259.82,162622.18
National,02/10/2024 12:00:00 AM,"American Indian/Alaska Native, Non-Hispanic",3838.8349999999996,2076.1650000000004
National,02/10/2024 12:00:00 AM,"Asian, Non-Hispanic",11402.93,11312.07
National,02/10/2024 12:00:00 AM,"Black, Non-Hispanic",28054.236999999997,19254.763000000003
National,02/10/2024 12:00:00 AM,Hispanic,47765.442,26635.557999999997
National,02/10/2024 12:00:00 AM,"Multiple Race/Other (Excludes Asian, AIAN, PI/NH), Non-Hispanic",11503.128,6358.872
National,02/10/2024 12:00:00 AM,"Other, Non-Hispanic",28271.352,21240.648
National,02/10/2024 12:00:00 AM,"Pacific Islander/Native Hawaiian, Non-Hispanic",1899.58,1120.42
National,02/10/2024 12:00:00 AM,"White, Non-Hispanic",168596.05599999998,163285.94400000002
National,02/17/2024 12:00:00 AM,"American Indian/Alaska Native, Non-Hispanic",3773.7699999999995,2141.2300000000005
National,02/17/2024 12:00:00 AM,"Asian, Non-Hispanic",11357.5,11357.5
National,02/17/2024 12:00:00 AM,"Black, Non-Hispanic",28054.236999999997,19254.763000000003
National,02/17/2024 12:00:00 AM,Hispanic,47616.64,26784.36
National,02/17/2024 12:00:00 AM,"Multiple Race/Other (Excludes Asian, AIAN, PI/NH), Non-Hispanic",11485.266,6376.734
National,02/17/2024 12:00:00 AM,"Other, Non-Hispanic",28172.328,21339.672
National,02/17/2024 12:00:00 AM,"Pacific Islander/Native Hawaiian, Non-Hispanic",1899.58,1120.42
National,02/17/2024 12:00:00 AM,"White, Non-Hispanic",168264.174,163617.826
National,02/24/2024 12:00:00 AM,"American Indian/Alaska Native, Non-Hispanic",3773.7699999999995,2141.2300000000005
National,02/24/2024 12:00:00 AM,"Asian, Non-Hispanic",11357.5,11357.5
National,02/24/2024 12:00:00 AM,"Black, Non-Hispanic",28006.928,19302.072
National,02/24/2024 12:00:00 AM,Hispanic,47393.437000000005,27007.563
National,02/24/2024 12:00:00 AM,"Multiple Race/Other (Excludes Asian, AIAN, PI/NH), Non-Hispanic",11467.404,6394.596
National,02/24/2024 12:00:00 AM,"Other, Non-Hispanic",28172.328,21339.672
National,02/24/2024 12:00:00 AM,"Pacific Islander/Native Hawaiian, Non-Hispanic",1899.58,1120.42
National,02/24/2024 12:00:00 AM,"White, Non-Hispanic",167600.41,164281.59
National,03/02/2024 12:00:00 AM,"American Indian/Alaska Native, Non-Hispanic",3767.855,2147.145
National,03/02/2024 12:00:00 AM,"Asian, Non-Hispanic",10948.63,11766.37
National,03/02/2024 12:00:00 AM,"Black, Non-Hispanic",27155.366,20153.634
National,03/02/2024 12:00:00 AM,Hispanic,46426.224,27974.776
National,03/02/2024 12:00:00 AM,"Multiple Race/Other (Excludes Asian, AIAN, PI/NH), Non-Hispanic",11306.645999999999,6555.354000000001
National,03/02/2024 12:00:00 AM,"Other, Non-Hispanic",27429.648,22082.352
National,03/02/2024 12:00:00 AM,"Pacific Islander/Native Hawaiian, Non-Hispanic",1848.2400000000002,1171.7599999999998
National,03/02/2024 12:00:00 AM,"White, Non-Hispanic",165609.118,166272.882
National,03/09/2024 12:00:00 AM,"American Indian/Alaska Native, Non-Hispanic",3767.855,2147.145
National,03/09/2024 12:00:00 AM,"Asian, Non-Hispanic",10948.63,11766.37
National,03/09/2024 12:00:00 AM,"Black, Non-Hispanic",27155.366,20153.634
National,03/09/2024 12:00:00 AM,Hispanic,46351.823000000004,28049.177
National,03/09/2024 12:00:00 AM,"Multiple Race/Other (Excludes Asian, AIAN, PI/NH), Non-Hispanic",11270.922,6591.0779999999995
National,03/09/2024 12:00:00 AM,"Other, Non-Hispanic",27330.624000000003,22181.375999999997
National,03/09/2024 12:00:00 AM,"Pacific Islander/Native Hawaiian, Non-Hispanic",1848.2400000000002,1171.7599999999998
National,03/09/2024 12:00:00 AM,"White, Non-Hispanic",165609.118,166272.882
National,03/16/2024 12:00:00 AM,"American Indian/Alaska Native, Non-Hispanic",3767.855,2147.145
National,03/16/2024 12:00:00 AM,"Asian, Non-Hispanic",10903.199999999999,11811.800000000001
National,03/16/2024 12:00:00 AM,"Black, Non-Hispanic",27155.366,20153.634
National,03/16/2024 12:00:00 AM,Hispanic,46277.422000000006,28123.577999999998
