Geographic Level,Week_ending,Sexual Orientation,No Vaccination,Yes Vaccination
National,01/06/2024 12:00:00 AM,Don't Know/Refused,18865.688000000002,11910.312
National,01/06/2024 12:00:00 AM,Gay/Lesbian/Bisexual/Other,22550.576,16063.424
National,01/06/2024 12:00:00 AM,Straight,249310.50600000002,194302.49399999998
National,01/13/2024 12:00:00 AM,Don't Know/Refused,18742.584,12033.416000000001
National,01/13/2024 12:00:00 AM,Gay/Lesbian/Bisexual/Other,22357.505999999998,16256.494000000002
National,01/13/2024 12:00:00 AM,Straight,247536.054,196076.946
National,01/20/2024 12:00:00 AM,Don't Know/Refused,18588.703999999998,12187.296
National,01/20/2024 12:00:00 AM,Gay/Lesbian/Bisexual/Other,22241.664,16372.336
National,01/20/2024 12:00:00 AM,Straight,245317.989,198295.011
National,01/27/2024 12:00:00 AM,Don't Know/Refused,18588.703999999998,12187.296
National,01/27/2024 12:00:00 AM,Gay/Lesbian/Bisexual/Other,22164.436,16449.564
National,01/27/2024 12:00:00 AM,Straight,243543.53699999998,200069.46300000002
National,02/03/2024 12:00:00 AM,Don't Know/Refused,18096.288,12679.712000000001
National,02/03/2024 12:00:00 AM,Gay/Lesbian/Bisexual/Other,21353.542,17260.458
National,02/03/2024 12:00:00 AM,Straight,241769.085,201843.915
National,02/10/2024 12:00:00 AM,Don't Know/Refused,18034.736,12741.264
National,02/10/2024 12:00:00 AM,Gay/Lesbian/Bisexual/Other,21314.928000000004,17299.071999999996
National,02/10/2024 12:00:00 AM,Straight,241325.47199999998,202287.52800000002
National,02/17/2024 12:00:00 AM,Don't Know/Refused,18034.736,12741.264
National,02/17/2024 12:00:00 AM,Gay/Lesbian/Bisexual/Other,21276.314,17337.686
National,02/17/2024 12:00:00 AM,Straight,240438.246,203174.754
National,02/24/2024 12:00:00 AM,Don't Know/Refused,17880.856,12895.144
National,02/24/2024 12:00:00 AM,Gay/Lesbian/Bisexual/Other,21276.314,17337.686
National,02/24/2024 12:00:00 AM,Straight,239551.02,204061.98
National,03/02/2024 12:00:00 AM,Don't Know/Refused,17603.872,13172.128
National,03/02/2024 12:00:00 AM,Gay/Lesbian/Bisexual/Other,20812.946,17801.054
National,03/02/2024 12:00:00 AM,Straight,236445.729,207167.271
National,03/09/2024 12:00:00 AM,Don't Know/Refused,17573.095999999998,13202.904
National,03/09/2024 12:00:00 AM,Gay/Lesbian/Bisexual/Other,20812.946,17801.054
National,03/09/2024 12:00:00 AM,Straight,236002.116,207610.884
National,03/16/2024 12:00:00 AM,Don't Know/Refused,17573.095999999998,13202.904
National,03/16/2024 12:00:00 AM,Gay/Lesbian/Bisexual/Other,20812.946,17801.054
National,03/16/2024 12:00:00 AM,Straight,236002.116,207610.884
National,03/23/2024 12:00:00 AM,Don't Know/Refused,17573.095999999998,13202.904
National,03/23/2024 12:00:00 AM,Gay/Lesbian/Bisexual/Other,20812.946,17801.054
National,03/23/2024 12:00:00 AM,Straight,235114.89,208498.11
National,03/31/2024 12:00:00 AM,Don't Know/Refused,17573.095999999998,13202.904
National,03/31/2024 12:00:00 AM,Gay/Lesbian/Bisexual/Other,20812.946,17801.054
National,03/31/2024 12:00:00 AM,Straight,235114.89,208498.11
National,08/24/2024 12:00:00 AM,Don't Know/Refused,5906.586,390.414
National,08/24/2024 12:00:00 AM,Gay/Lesbian/Bisexual/Other,7738.192,255.808
National,08/24/2024 12:00:00 AM,Straight,87574.49,2615.5099999999998
National,08/31/2024 12:00:00 AM,Don't Know/Refused,5906.586,390.414
National,08/31/2024 12:00:00 AM,Gay/Lesbian/Bisexual/Other,7698.222,295.778
National,08/31/2024 12:00:00 AM,Straight,87303.92,2886.08
National,09/07/2024 12:00:00 AM,Don't Know/Refused,5906.586,390.414
National,09/07/2024 12:00:00 AM,Gay/Lesbian/Bisexual/Other,7530.348,463.652
